Results for running testme.c:
Iteration 1: c = [, s = rtt, state = 0
Iteration 2: c = (, s = et, state = 1
Iteration 3: c = a, s = e, state = 2
Iteration 4: c = ], s = ts, state = 2
Iteration 5: c = (, s = esttrt, state = 2
Iteration 6: c = (, s = stsrte, state = 2
Iteration 7: c = }, s = eersst, state = 2
Iteration 8: c = (, s = , state = 2
Iteration 9: c = (, s = trsess, state = 2
Iteration 10: c = }, s = , state = 2
Iteration 11: c = x, s = t, state = 2
Iteration 12: c = ), s = s, state = 2
Iteration 13: c = {, s = ete, state = 2
Iteration 14: c = ), s = srsee, state = 3
Iteration 15: c = ], s = e, state = 3
Iteration 16: c = {, s = e, state = 3
Iteration 17: c = {, s = sert, state = 3
Iteration 18: c = ], s = , state = 3
Iteration 19: c = (, s = rrr, state = 3
Iteration 20: c = {, s = ttt, state = 3
Iteration 21: c = }, s = es, state = 3
Iteration 22: c = ), s = steest, state = 3
Iteration 23: c = x, s = eress, state = 3
Iteration 24: c =  , s = , state = 3
Iteration 25: c = ], s = strtse, state = 4
Iteration 26: c = ], s = tttrt, state = 4
Iteration 27: c = [, s = rrrss, state = 4
Iteration 28: c = ), s = erst, state = 4
Iteration 29: c = {, s = trttrt, state = 4
Iteration 30: c = a, s = r, state = 4
Iteration 31: c =  , s = tsre, state = 5
Iteration 32: c = {, s = e, state = 5
Iteration 33: c = (, s = terttr, state = 5
Iteration 34: c = (, s = trrres, state = 5
Iteration 35: c = (, s = ersssr, state = 5
Iteration 36: c = ), s = ett, state = 5
Iteration 37: c = ], s = eseete, state = 5
Iteration 38: c = }, s = eeeeet, state = 5
Iteration 39: c = }, s = , state = 5
Iteration 40: c = a, s = , state = 5
Iteration 41: c = ], s = , state = 5
Iteration 42: c = ], s = s, state = 5
Iteration 43: c = [, s = rrs, state = 5
Iteration 44: c = [, s = r, state = 5
Iteration 45: c = a, s = trt, state = 5
Iteration 46: c = a, s = ettrss, state = 5
Iteration 47: c = ), s = , state = 5
Iteration 48: c =  , s = rrtt, state = 5
Iteration 49: c = }, s = sttrrt, state = 5
Iteration 50: c = ), s = rt, state = 5
Iteration 51: c = x, s = rrt, state = 5
Iteration 52: c = [, s = , state = 6
Iteration 53: c = {, s = , state = 6
Iteration 54: c =  , s = srssts, state = 6
Iteration 55: c = {, s = s, state = 6
Iteration 56: c = (, s = te, state = 6
